Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
456C4_R2_001	(11.0, 7.0)	(12.0, 59.0)	(13.0, 382.0)	(14.0, 911.0)	(15.0, 1439.0)	(16.0, 2960.0)	(17.0, 7275.0)	(18.0, 14133.0)	(19.0, 20393.0)	(20.0, 27753.0)	(21.0, 35721.0)	(22.0, 43247.0)	(23.0, 50590.0)	(24.0, 59662.0)	(25.0, 71077.0)	(26.0, 86522.0)	(27.0, 105464.0)	(28.0, 132482.0)	(29.0, 167055.0)	(30.0, 216547.0)	(31.0, 286993.0)	(32.0, 406732.0)	(33.0, 630698.0)	(34.0, 1152629.0)	(35.0, 2950301.0)	(36.0, 9327708.0)	(37.0, 667539.0)	(38.0, 604122.0)	(39.0, 1872544.0)	(40.0, 288288.0)
456H4_R1_001	(13.0, 8.0)	(14.0, 99.0)	(15.0, 442.0)	(16.0, 982.0)	(17.0, 1519.0)	(18.0, 2062.0)	(19.0, 2948.0)	(20.0, 4555.0)	(21.0, 7172.0)	(22.0, 10988.0)	(23.0, 15232.0)	(24.0, 20496.0)	(25.0, 28762.0)	(26.0, 42858.0)	(27.0, 63639.0)	(28.0, 93876.0)	(29.0, 134848.0)	(30.0, 184911.0)	(31.0, 245764.0)	(32.0, 324599.0)	(33.0, 439422.0)	(34.0, 697103.0)	(35.0, 1608405.0)	(36.0, 9202836.0)	(37.0, 1258150.0)	(38.0, 414349.0)	(39.0, 2123906.0)	(40.0, 766549.0)		
456H4_R2_001	(11.0, 1.0)	(12.0, 51.0)	(13.0, 270.0)	(14.0, 694.0)	(15.0, 1217.0)	(16.0, 2720.0)	(17.0, 6963.0)	(18.0, 13625.0)	(19.0, 18399.0)	(20.0, 24311.0)	(21.0, 31454.0)	(22.0, 39463.0)	(23.0, 47682.0)	(24.0, 54644.0)	(25.0, 62998.0)	(26.0, 76841.0)	(27.0, 94167.0)	(28.0, 119115.0)	(29.0, 150867.0)	(30.0, 196304.0)	(31.0, 265234.0)	(32.0, 381570.0)	(33.0, 603297.0)	(34.0, 1132282.0)	(35.0, 2939315.0)	(36.0, 8044681.0)	(37.0, 521074.0)	(38.0, 574373.0)	(39.0, 1915448.0)	(40.0, 377420.0)
456H9_R1_001	(13.0, 18.0)	(14.0, 235.0)	(15.0, 1109.0)	(16.0, 2520.0)	(17.0, 3837.0)	(18.0, 4635.0)	(19.0, 5404.0)	(20.0, 6493.0)	(21.0, 8443.0)	(22.0, 11815.0)	(23.0, 18004.0)	(24.0, 28588.0)	(25.0, 46044.0)	(26.0, 71237.0)	(27.0, 106825.0)	(28.0, 155484.0)	(29.0, 217557.0)	(30.0, 295937.0)	(31.0, 389605.0)	(32.0, 518960.0)	(33.0, 724075.0)	(34.0, 1188780.0)	(35.0, 2826543.0)	(36.0, 14453495.0)	(37.0, 1500859.0)					
456H9_R2_001	(11.0, 7.0)	(12.0, 189.0)	(13.0, 953.0)	(14.0, 1855.0)	(15.0, 2734.0)	(16.0, 3981.0)	(17.0, 6025.0)	(18.0, 9427.0)	(19.0, 15206.0)	(20.0, 24475.0)	(21.0, 37186.0)	(22.0, 52135.0)	(23.0, 69512.0)	(24.0, 86264.0)	(25.0, 104879.0)	(26.0, 129118.0)	(27.0, 162136.0)	(28.0, 203473.0)	(29.0, 260711.0)	(30.0, 341181.0)	(31.0, 464085.0)	(32.0, 677411.0)	(33.0, 1081999.0)	(34.0, 2010470.0)	(35.0, 4908692.0)	(36.0, 11596756.0)	(37.0, 335642.0)			
456L14_R1_001	(13.0, 5.0)	(14.0, 85.0)	(15.0, 433.0)	(16.0, 907.0)	(17.0, 1463.0)	(18.0, 2049.0)	(19.0, 3106.0)	(20.0, 4668.0)	(21.0, 6849.0)	(22.0, 9583.0)	(23.0, 13193.0)	(24.0, 18601.0)	(25.0, 27907.0)	(26.0, 43434.0)	(27.0, 65944.0)	(28.0, 96895.0)	(29.0, 137362.0)	(30.0, 187929.0)	(31.0, 247224.0)	(32.0, 327249.0)	(33.0, 448430.0)	(34.0, 714520.0)	(35.0, 1659903.0)	(36.0, 9541794.0)	(37.0, 1352191.0)	(38.0, 531833.0)	(39.0, 2483704.0)	(40.0, 897498.0)		
456L14_R2_001	(11.0, 1.0)	(12.0, 29.0)	(13.0, 181.0)	(14.0, 542.0)	(15.0, 1103.0)	(16.0, 2994.0)	(17.0, 8911.0)	(18.0, 18016.0)	(19.0, 23956.0)	(20.0, 29958.0)	(21.0, 37108.0)	(22.0, 45552.0)	(23.0, 53264.0)	(24.0, 62483.0)	(25.0, 73177.0)	(26.0, 89114.0)	(27.0, 108663.0)	(28.0, 135392.0)	(29.0, 169967.0)	(30.0, 219003.0)	(31.0, 291474.0)	(32.0, 418153.0)	(33.0, 653206.0)	(34.0, 1198278.0)	(35.0, 2981073.0)	(36.0, 8216158.0)	(37.0, 628156.0)	(38.0, 680685.0)	(39.0, 2217474.0)	(40.0, 460688.0)
456L4_R1_001	(13.0, 2.0)	(14.0, 105.0)	(15.0, 519.0)	(16.0, 1163.0)	(17.0, 1722.0)	(18.0, 2238.0)	(19.0, 2903.0)	(20.0, 4180.0)	(21.0, 6370.0)	(22.0, 10000.0)	(23.0, 16041.0)	(24.0, 24052.0)	(25.0, 37061.0)	(26.0, 57264.0)	(27.0, 86625.0)	(28.0, 126599.0)	(29.0, 179238.0)	(30.0, 239754.0)	(31.0, 313506.0)	(32.0, 409898.0)	(33.0, 558609.0)	(34.0, 891104.0)	(35.0, 2104748.0)	(36.0, 11616041.0)	(37.0, 1311676.0)					
456L4_R2_001	(11.0, 3.0)	(12.0, 116.0)	(13.0, 556.0)	(14.0, 911.0)	(15.0, 1310.0)	(16.0, 1834.0)	(17.0, 2871.0)	(18.0, 4569.0)	(19.0, 7668.0)	(20.0, 12787.0)	(21.0, 20327.0)	(22.0, 29940.0)	(23.0, 41994.0)	(24.0, 53665.0)	(25.0, 64974.0)	(26.0, 78732.0)	(27.0, 98598.0)	(28.0, 126452.0)	(29.0, 165706.0)	(30.0, 218046.0)	(31.0, 301661.0)	(32.0, 446899.0)	(33.0, 729490.0)	(34.0, 1404974.0)	(35.0, 3743927.0)	(36.0, 10127446.0)	(37.0, 315962.0)			
456L9_R1_001	(13.0, 6.0)	(14.0, 118.0)	(15.0, 610.0)	(16.0, 1326.0)	(17.0, 1975.0)	(18.0, 2618.0)	(19.0, 3288.0)	(20.0, 4052.0)	(21.0, 5515.0)	(22.0, 7460.0)	(23.0, 11320.0)	(24.0, 17260.0)	(25.0, 28561.0)	(26.0, 45874.0)	(27.0, 72665.0)	(28.0, 109520.0)	(29.0, 158241.0)	(30.0, 217127.0)	(31.0, 286933.0)	(32.0, 377192.0)	(33.0, 517295.0)	(34.0, 827524.0)	(35.0, 1982484.0)	(36.0, 12082826.0)	(37.0, 1419890.0)					
456L9_R2_001	(12.0, 61.0)	(13.0, 369.0)	(14.0, 830.0)	(15.0, 1355.0)	(16.0, 2088.0)	(17.0, 3109.0)	(18.0, 4954.0)	(19.0, 8140.0)	(20.0, 13348.0)	(21.0, 21335.0)	(22.0, 31357.0)	(23.0, 43256.0)	(24.0, 53617.0)	(25.0, 66712.0)	(26.0, 83453.0)	(27.0, 106167.0)	(28.0, 134808.0)	(29.0, 175178.0)	(30.0, 229358.0)	(31.0, 311849.0)	(32.0, 456190.0)	(33.0, 739166.0)	(34.0, 1417386.0)	(35.0, 3774647.0)	(36.0, 10190446.0)	(37.0, 312501.0)				
456M14_R1_001	(13.0, 2.0)	(14.0, 83.0)	(15.0, 383.0)	(16.0, 912.0)	(17.0, 1365.0)	(18.0, 1773.0)	(19.0, 2222.0)	(20.0, 2889.0)	(21.0, 3973.0)	(22.0, 5613.0)	(23.0, 8325.0)	(24.0, 13880.0)	(25.0, 23680.0)	(26.0, 40986.0)	(27.0, 67861.0)	(28.0, 105191.0)	(29.0, 154686.0)	(30.0, 213169.0)	(31.0, 282846.0)	(32.0, 371622.0)	(33.0, 505156.0)	(34.0, 804751.0)	(35.0, 1910889.0)	(36.0, 12442079.0)	(37.0, 1555298.0)					
456M14_R2_001	(11.0, 8.0)	(12.0, 72.0)	(13.0, 411.0)	(14.0, 911.0)	(15.0, 1329.0)	(16.0, 1922.0)	(17.0, 2840.0)	(18.0, 4685.0)	(19.0, 8346.0)	(20.0, 14883.0)	(21.0, 24013.0)	(22.0, 35187.0)	(23.0, 47631.0)	(24.0, 59724.0)	(25.0, 74125.0)	(26.0, 92240.0)	(27.0, 116313.0)	(28.0, 146551.0)	(29.0, 189775.0)	(30.0, 247790.0)	(31.0, 334878.0)	(32.0, 484969.0)	(33.0, 778079.0)	(34.0, 1477390.0)	(35.0, 3877861.0)	(36.0, 10198702.0)	(37.0, 298999.0)			
456M4_R1_001	(13.0, 11.0)	(14.0, 201.0)	(15.0, 1075.0)	(16.0, 2284.0)	(17.0, 3349.0)	(18.0, 3999.0)	(19.0, 4907.0)	(20.0, 6158.0)	(21.0, 8241.0)	(22.0, 11047.0)	(23.0, 15383.0)	(24.0, 22406.0)	(25.0, 33693.0)	(26.0, 50555.0)	(27.0, 73933.0)	(28.0, 107200.0)	(29.0, 151452.0)	(30.0, 207700.0)	(31.0, 274205.0)	(32.0, 362981.0)	(33.0, 495299.0)	(34.0, 785295.0)	(35.0, 1828907.0)	(36.0, 11593447.0)	(37.0, 1656919.0)	(38.0, 200086.0)	(39.0, 929708.0)	(40.0, 302108.0)		
456M4_R2_001	(11.0, 1.0)	(12.0, 50.0)	(13.0, 368.0)	(14.0, 967.0)	(15.0, 1925.0)	(16.0, 3545.0)	(17.0, 7301.0)	(18.0, 12720.0)	(19.0, 18037.0)	(20.0, 26121.0)	(21.0, 36125.0)	(22.0, 46540.0)	(23.0, 58273.0)	(24.0, 70103.0)	(25.0, 83942.0)	(26.0, 102459.0)	(27.0, 126044.0)	(28.0, 156268.0)	(29.0, 195337.0)	(30.0, 250721.0)	(31.0, 331923.0)	(32.0, 475693.0)	(33.0, 748201.0)	(34.0, 1391368.0)	(35.0, 3534922.0)	(36.0, 9799085.0)	(37.0, 470948.0)	(38.0, 260377.0)	(39.0, 788391.0)	(40.0, 134794.0)
456M9_R1_001	(13.0, 5.0)	(14.0, 103.0)	(15.0, 510.0)	(16.0, 1170.0)	(17.0, 1718.0)	(18.0, 2462.0)	(19.0, 3664.0)	(20.0, 5526.0)	(21.0, 8356.0)	(22.0, 11892.0)	(23.0, 15531.0)	(24.0, 20714.0)	(25.0, 29671.0)	(26.0, 44006.0)	(27.0, 63999.0)	(28.0, 93667.0)	(29.0, 131513.0)	(30.0, 177726.0)	(31.0, 230763.0)	(32.0, 303063.0)	(33.0, 408521.0)	(34.0, 643694.0)	(35.0, 1468544.0)	(36.0, 8424792.0)	(37.0, 1195578.0)	(38.0, 521564.0)	(39.0, 2660488.0)	(40.0, 965798.0)		
456M9_R2_001	(11.0, 2.0)	(12.0, 39.0)	(13.0, 246.0)	(14.0, 603.0)	(15.0, 1202.0)	(16.0, 3177.0)	(17.0, 8731.0)	(18.0, 16750.0)	(19.0, 22051.0)	(20.0, 28646.0)	(21.0, 36341.0)	(22.0, 44168.0)	(23.0, 50701.0)	(24.0, 57174.0)	(25.0, 65174.0)	(26.0, 78032.0)	(27.0, 95618.0)	(28.0, 119022.0)	(29.0, 147447.0)	(30.0, 189558.0)	(31.0, 251285.0)	(32.0, 358388.0)	(33.0, 558715.0)	(34.0, 1031448.0)	(35.0, 2637741.0)	(36.0, 7497246.0)	(37.0, 622655.0)	(38.0, 751393.0)	(39.0, 2361383.0)	(40.0, 400102.0)
45C14_R1_001	(13.0, 9.0)	(14.0, 80.0)	(15.0, 423.0)	(16.0, 968.0)	(17.0, 1476.0)	(18.0, 1952.0)	(19.0, 2632.0)	(20.0, 3856.0)	(21.0, 6257.0)	(22.0, 10132.0)	(23.0, 15796.0)	(24.0, 23751.0)	(25.0, 36028.0)	(26.0, 55626.0)	(27.0, 85306.0)	(28.0, 127064.0)	(29.0, 181356.0)	(30.0, 247414.0)	(31.0, 324474.0)	(32.0, 427407.0)	(33.0, 584596.0)	(34.0, 940515.0)	(35.0, 2252045.0)	(36.0, 12349361.0)	(37.0, 1355018.0)					
45C14_R2_001	(11.0, 4.0)	(12.0, 131.0)	(13.0, 586.0)	(14.0, 1112.0)	(15.0, 1615.0)	(16.0, 2099.0)	(17.0, 3121.0)	(18.0, 5199.0)	(19.0, 9101.0)	(20.0, 15658.0)	(21.0, 26362.0)	(22.0, 42623.0)	(23.0, 64602.0)	(24.0, 68659.0)	(25.0, 74718.0)	(26.0, 90072.0)	(27.0, 115040.0)	(28.0, 148127.0)	(29.0, 192863.0)	(30.0, 253704.0)	(31.0, 348821.0)	(32.0, 511857.0)	(33.0, 827807.0)	(34.0, 1559891.0)	(35.0, 4032792.0)	(36.0, 10336182.0)	(37.0, 300796.0)			
45C9_R1_001	(13.0, 9.0)	(14.0, 126.0)	(15.0, 568.0)	(16.0, 1270.0)	(17.0, 1937.0)	(18.0, 2584.0)	(19.0, 4008.0)	(20.0, 6215.0)	(21.0, 9387.0)	(22.0, 13702.0)	(23.0, 18846.0)	(24.0, 26062.0)	(25.0, 36740.0)	(26.0, 51225.0)	(27.0, 70189.0)	(28.0, 97823.0)	(29.0, 133150.0)	(30.0, 178049.0)	(31.0, 232417.0)	(32.0, 304563.0)	(33.0, 411883.0)	(34.0, 643592.0)	(35.0, 1463854.0)	(36.0, 8421936.0)	(37.0, 1235355.0)	(38.0, 594500.0)	(39.0, 2852626.0)	(40.0, 1042198.0)		
45C9_R2_001	(11.0, 3.0)	(12.0, 40.0)	(13.0, 269.0)	(14.0, 735.0)	(15.0, 1380.0)	(16.0, 3693.0)	(17.0, 9823.0)	(18.0, 19359.0)	(19.0, 25162.0)	(20.0, 32438.0)	(21.0, 40284.0)	(22.0, 48720.0)	(23.0, 55907.0)	(24.0, 64084.0)	(25.0, 73228.0)	(26.0, 87408.0)	(27.0, 103809.0)	(28.0, 127015.0)	(29.0, 155718.0)	(30.0, 198761.0)	(31.0, 259527.0)	(32.0, 369130.0)	(33.0, 571506.0)	(34.0, 1054661.0)	(35.0, 2711943.0)	(36.0, 7403767.0)	(37.0, 625313.0)	(38.0, 825770.0)	(39.0, 2544755.0)	(40.0, 440606.0)
45H14_R1_001	(13.0, 6.0)	(14.0, 82.0)	(15.0, 414.0)	(16.0, 987.0)	(17.0, 1439.0)	(18.0, 2073.0)	(19.0, 2974.0)	(20.0, 5241.0)	(21.0, 8616.0)	(22.0, 13740.0)	(23.0, 19246.0)	(24.0, 27062.0)	(25.0, 38640.0)	(26.0, 56720.0)	(27.0, 81264.0)	(28.0, 114431.0)	(29.0, 158035.0)	(30.0, 212830.0)	(31.0, 277436.0)	(32.0, 365582.0)	(33.0, 506000.0)	(34.0, 813705.0)	(35.0, 1848264.0)	(36.0, 9336419.0)	(37.0, 1200682.0)	(38.0, 515914.0)	(39.0, 2366685.0)	(40.0, 773650.0)		
45H14_R2_001	(11.0, 2.0)	(12.0, 74.0)	(13.0, 346.0)	(14.0, 792.0)	(15.0, 1278.0)	(16.0, 2920.0)	(17.0, 6454.0)	(18.0, 11543.0)	(19.0, 16252.0)	(20.0, 23001.0)	(21.0, 32229.0)	(22.0, 43086.0)	(23.0, 53927.0)	(24.0, 62111.0)	(25.0, 73204.0)	(26.0, 88806.0)	(27.0, 109041.0)	(28.0, 137124.0)	(29.0, 172005.0)	(30.0, 222479.0)	(31.0, 298098.0)	(32.0, 428333.0)	(33.0, 673167.0)	(34.0, 1241153.0)	(35.0, 3100799.0)	(36.0, 8101821.0)	(37.0, 557266.0)	(38.0, 658074.0)	(39.0, 2208489.0)	(40.0, 424263.0)
67C9_R1_001	(12.0, 1.0)	(13.0, 12.0)	(14.0, 185.0)	(15.0, 941.0)	(16.0, 2084.0)	(17.0, 2928.0)	(18.0, 3817.0)	(19.0, 4418.0)	(20.0, 5313.0)	(21.0, 6780.0)	(22.0, 8926.0)	(23.0, 13133.0)	(24.0, 20564.0)	(25.0, 32867.0)	(26.0, 54567.0)	(27.0, 86951.0)	(28.0, 131760.0)	(29.0, 189254.0)	(30.0, 257960.0)	(31.0, 340560.0)	(32.0, 450450.0)	(33.0, 620694.0)	(34.0, 973813.0)	(35.0, 2273430.0)	(36.0, 14231612.0)	(37.0, 1825024.0)				
67C9_R2_001	(11.0, 4.0)	(12.0, 115.0)	(13.0, 704.0)	(14.0, 1416.0)	(15.0, 2106.0)	(16.0, 3001.0)	(17.0, 4235.0)	(18.0, 6524.0)	(19.0, 10608.0)	(20.0, 17922.0)	(21.0, 27102.0)	(22.0, 39606.0)	(23.0, 52891.0)	(24.0, 66025.0)	(25.0, 80627.0)	(26.0, 98971.0)	(27.0, 125940.0)	(28.0, 160538.0)	(29.0, 207297.0)	(30.0, 271487.0)	(31.0, 370831.0)	(32.0, 539726.0)	(33.0, 865479.0)	(34.0, 1644626.0)	(35.0, 4347754.0)	(36.0, 12189476.0)	(37.0, 403033.0)			
6C14_R1_001	(13.0, 8.0)	(14.0, 176.0)	(15.0, 737.0)	(16.0, 1514.0)	(17.0, 2376.0)	(18.0, 2944.0)	(19.0, 3522.0)	(20.0, 4505.0)	(21.0, 6140.0)	(22.0, 8216.0)	(23.0, 11240.0)	(24.0, 16561.0)	(25.0, 26538.0)	(26.0, 42678.0)	(27.0, 68979.0)	(28.0, 105990.0)	(29.0, 155426.0)	(30.0, 213911.0)	(31.0, 283548.0)	(32.0, 372290.0)	(33.0, 505483.0)	(34.0, 794937.0)	(35.0, 1844415.0)	(36.0, 11964544.0)	(37.0, 1643538.0)	(38.0, 142625.0)	(39.0, 748811.0)	(40.0, 265914.0)		
6C14_R2_001	(11.0, 1.0)	(12.0, 32.0)	(13.0, 320.0)	(14.0, 781.0)	(15.0, 1448.0)	(16.0, 2417.0)	(17.0, 4510.0)	(18.0, 7990.0)	(19.0, 11865.0)	(20.0, 17286.0)	(21.0, 24729.0)	(22.0, 33573.0)	(23.0, 43683.0)	(24.0, 53358.0)	(25.0, 65547.0)	(26.0, 82684.0)	(27.0, 105070.0)	(28.0, 135014.0)	(29.0, 174281.0)	(30.0, 226934.0)	(31.0, 309121.0)	(32.0, 445398.0)	(33.0, 711449.0)	(34.0, 1344714.0)	(35.0, 3578477.0)	(36.0, 10394939.0)	(37.0, 426595.0)	(38.0, 186550.0)	(39.0, 697207.0)	(40.0, 151593.0)
789C4_R1_001	(14.0, 15.0)	(15.0, 43.0)	(16.0, 106.0)	(17.0, 232.0)	(18.0, 567.0)	(19.0, 1749.0)	(20.0, 4850.0)	(21.0, 10723.0)	(22.0, 19056.0)	(23.0, 28220.0)	(24.0, 40082.0)	(25.0, 55376.0)	(26.0, 77142.0)	(27.0, 105889.0)	(28.0, 144476.0)	(29.0, 192214.0)	(30.0, 255546.0)	(31.0, 334051.0)	(32.0, 453536.0)	(33.0, 652506.0)	(34.0, 1052525.0)	(35.0, 2352576.0)	(36.0, 7078417.0)	(37.0, 720743.0)	(38.0, 824671.0)	(39.0, 3224821.0)	(40.0, 1075272.0)			
789C4_R2_001	(11.0, 5.0)	(12.0, 60.0)	(13.0, 294.0)	(14.0, 700.0)	(15.0, 1718.0)	(16.0, 3331.0)	(17.0, 5861.0)	(18.0, 9946.0)	(19.0, 15249.0)	(20.0, 24053.0)	(21.0, 33919.0)	(22.0, 45002.0)	(23.0, 56086.0)	(24.0, 67168.0)	(25.0, 79604.0)	(26.0, 101389.0)	(27.0, 129470.0)	(28.0, 167276.0)	(29.0, 213386.0)	(30.0, 281793.0)	(31.0, 379718.0)	(32.0, 551246.0)	(33.0, 856183.0)	(34.0, 1517398.0)	(35.0, 3238364.0)	(36.0, 5970522.0)	(37.0, 773532.0)	(38.0, 1193978.0)	(39.0, 2619355.0)	(40.0, 368798.0)
789H14_R1_001	(13.0, 2.0)	(14.0, 58.0)	(15.0, 252.0)	(16.0, 564.0)	(17.0, 881.0)	(18.0, 1291.0)	(19.0, 1756.0)	(20.0, 2341.0)	(21.0, 3232.0)	(22.0, 4560.0)	(23.0, 7147.0)	(24.0, 12204.0)	(25.0, 21407.0)	(26.0, 37348.0)	(27.0, 62804.0)	(28.0, 99978.0)	(29.0, 146761.0)	(30.0, 203661.0)	(31.0, 270678.0)	(32.0, 356285.0)	(33.0, 486635.0)	(34.0, 773344.0)	(35.0, 1852597.0)	(36.0, 12258706.0)	(37.0, 1535014.0)					
789H14_R2_001	(11.0, 1.0)	(12.0, 37.0)	(13.0, 231.0)	(14.0, 515.0)	(15.0, 915.0)	(16.0, 1298.0)	(17.0, 2142.0)	(18.0, 3638.0)	(19.0, 6612.0)	(20.0, 11886.0)	(21.0, 19746.0)	(22.0, 29789.0)	(23.0, 41065.0)	(24.0, 51553.0)	(25.0, 63983.0)	(26.0, 80806.0)	(27.0, 102830.0)	(28.0, 132574.0)	(29.0, 172188.0)	(30.0, 226939.0)	(31.0, 312195.0)	(32.0, 456911.0)	(33.0, 740069.0)	(34.0, 1424747.0)	(35.0, 3828525.0)	(36.0, 10134346.0)	(37.0, 293965.0)			
789H4_R1_001	(13.0, 1.0)	(14.0, 36.0)	(15.0, 177.0)	(16.0, 458.0)	(17.0, 724.0)	(18.0, 1077.0)	(19.0, 1434.0)	(20.0, 2184.0)	(21.0, 3454.0)	(22.0, 5509.0)	(23.0, 9039.0)	(24.0, 14960.0)	(25.0, 25518.0)	(26.0, 43084.0)	(27.0, 71845.0)	(28.0, 111921.0)	(29.0, 164855.0)	(30.0, 227711.0)	(31.0, 302797.0)	(32.0, 398764.0)	(33.0, 543146.0)	(34.0, 867132.0)	(35.0, 2032752.0)	(36.0, 12952358.0)	(37.0, 1645248.0)					
789H4_R2_001	(11.0, 5.0)	(12.0, 125.0)	(13.0, 872.0)	(14.0, 1504.0)	(15.0, 1708.0)	(16.0, 2182.0)	(17.0, 2977.0)	(18.0, 4795.0)	(19.0, 8745.0)	(20.0, 15681.0)	(21.0, 25444.0)	(22.0, 38894.0)	(23.0, 53801.0)	(24.0, 65936.0)	(25.0, 78004.0)	(26.0, 94276.0)	(27.0, 119735.0)	(28.0, 152733.0)	(29.0, 197587.0)	(30.0, 258863.0)	(31.0, 355590.0)	(32.0, 517910.0)	(33.0, 837534.0)	(34.0, 1604617.0)	(35.0, 4228705.0)	(36.0, 10479634.0)	(37.0, 278327.0)			
789H9_R1_001	(13.0, 3.0)	(14.0, 49.0)	(15.0, 232.0)	(16.0, 552.0)	(17.0, 916.0)	(18.0, 1406.0)	(19.0, 1926.0)	(20.0, 3087.0)	(21.0, 4668.0)	(22.0, 6764.0)	(23.0, 9781.0)	(24.0, 15402.0)	(25.0, 25263.0)	(26.0, 42284.0)	(27.0, 68298.0)	(28.0, 103388.0)	(29.0, 149541.0)	(30.0, 204352.0)	(31.0, 269882.0)	(32.0, 354823.0)	(33.0, 483761.0)	(34.0, 771885.0)	(35.0, 1816275.0)	(36.0, 11196327.0)	(37.0, 1418916.0)	(38.0, 250932.0)	(39.0, 1189115.0)	(40.0, 363921.0)		
789H9_R2_001	(11.0, 1.0)	(12.0, 54.0)	(13.0, 413.0)	(14.0, 768.0)	(15.0, 1237.0)	(16.0, 2610.0)	(17.0, 6664.0)	(18.0, 13306.0)	(19.0, 18645.0)	(20.0, 25881.0)	(21.0, 35911.0)	(22.0, 47820.0)	(23.0, 60626.0)	(24.0, 69286.0)	(25.0, 77791.0)	(26.0, 94615.0)	(27.0, 115047.0)	(28.0, 144417.0)	(29.0, 182993.0)	(30.0, 236571.0)	(31.0, 317264.0)	(32.0, 457083.0)	(33.0, 725320.0)	(34.0, 1361271.0)	(35.0, 3539389.0)	(36.0, 9302724.0)	(37.0, 432308.0)	(38.0, 335986.0)	(39.0, 995389.0)	(40.0, 152359.0)
789L14_R1_001	(13.0, 5.0)	(14.0, 92.0)	(15.0, 443.0)	(16.0, 973.0)	(17.0, 1518.0)	(18.0, 2009.0)	(19.0, 2759.0)	(20.0, 4109.0)	(21.0, 5723.0)	(22.0, 8091.0)	(23.0, 11298.0)	(24.0, 16327.0)	(25.0, 25480.0)	(26.0, 41554.0)	(27.0, 65670.0)	(28.0, 100791.0)	(29.0, 145337.0)	(30.0, 199983.0)	(31.0, 262755.0)	(32.0, 345756.0)	(33.0, 470556.0)	(34.0, 750811.0)	(35.0, 1776535.0)	(36.0, 10774193.0)	(37.0, 1338881.0)	(38.0, 282372.0)	(39.0, 1423693.0)	(40.0, 517018.0)		
789L14_R2_001	(12.0, 60.0)	(13.0, 365.0)	(14.0, 776.0)	(15.0, 1300.0)	(16.0, 2717.0)	(17.0, 6607.0)	(18.0, 12171.0)	(19.0, 17531.0)	(20.0, 24674.0)	(21.0, 33337.0)	(22.0, 42942.0)	(23.0, 52507.0)	(24.0, 62311.0)	(25.0, 74457.0)	(26.0, 91236.0)	(27.0, 111917.0)	(28.0, 141505.0)	(29.0, 179084.0)	(30.0, 231034.0)	(31.0, 313030.0)	(32.0, 456768.0)	(33.0, 726470.0)	(34.0, 1364207.0)	(35.0, 3507270.0)	(36.0, 8762796.0)	(37.0, 438912.0)	(38.0, 382506.0)	(39.0, 1268561.0)	(40.0, 267681.0)	
789L4_R1_001	(13.0, 18.0)	(14.0, 264.0)	(15.0, 1183.0)	(16.0, 2366.0)	(17.0, 3708.0)	(18.0, 4312.0)	(19.0, 4953.0)	(20.0, 6038.0)	(21.0, 7281.0)	(22.0, 9500.0)	(23.0, 13643.0)	(24.0, 20743.0)	(25.0, 33106.0)	(26.0, 50345.0)	(27.0, 75770.0)	(28.0, 109979.0)	(29.0, 156876.0)	(30.0, 213854.0)	(31.0, 282775.0)	(32.0, 369472.0)	(33.0, 501304.0)	(34.0, 791622.0)	(35.0, 1848146.0)	(36.0, 12543402.0)	(37.0, 1827525.0)					
789L4_R2_001	(11.0, 1.0)	(12.0, 101.0)	(13.0, 547.0)	(14.0, 1401.0)	(15.0, 2253.0)	(16.0, 3369.0)	(17.0, 4843.0)	(18.0, 7110.0)	(19.0, 11355.0)	(20.0, 17833.0)	(21.0, 26391.0)	(22.0, 37118.0)	(23.0, 48952.0)	(24.0, 60076.0)	(25.0, 73005.0)	(26.0, 91102.0)	(27.0, 112147.0)	(28.0, 142142.0)	(29.0, 181958.0)	(30.0, 235991.0)	(31.0, 318783.0)	(32.0, 463877.0)	(33.0, 746755.0)	(34.0, 1427540.0)	(35.0, 3789744.0)	(36.0, 10714892.0)	(37.0, 358899.0)			
789L9_R1_001	(13.0, 4.0)	(14.0, 114.0)	(15.0, 426.0)	(16.0, 1046.0)	(17.0, 1705.0)	(18.0, 2252.0)	(19.0, 2795.0)	(20.0, 3654.0)	(21.0, 4841.0)	(22.0, 6731.0)	(23.0, 10125.0)	(24.0, 15244.0)	(25.0, 25250.0)	(26.0, 41720.0)	(27.0, 67536.0)	(28.0, 105482.0)	(29.0, 155461.0)	(30.0, 214793.0)	(31.0, 289438.0)	(32.0, 384478.0)	(33.0, 532475.0)	(34.0, 863238.0)	(35.0, 2080427.0)	(36.0, 12297209.0)	(37.0, 1390171.0)					
789L9_R2_001	(11.0, 5.0)	(12.0, 37.0)	(13.0, 241.0)	(14.0, 697.0)	(15.0, 1229.0)	(16.0, 1915.0)	(17.0, 2935.0)	(18.0, 4761.0)	(19.0, 8276.0)	(20.0, 14377.0)	(21.0, 23016.0)	(22.0, 34135.0)	(23.0, 46965.0)	(24.0, 58731.0)	(25.0, 73697.0)	(26.0, 92699.0)	(27.0, 118732.0)	(28.0, 152112.0)	(29.0, 196747.0)	(30.0, 257390.0)	(31.0, 350264.0)	(32.0, 512547.0)	(33.0, 821499.0)	(34.0, 1547701.0)	(35.0, 3957129.0)	(36.0, 9933057.0)	(37.0, 285721.0)			
