Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
131415C4_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0005821109135255359)	(4, 0.0008023690970216846)	(5, 0.0010383600079104153)	(6, 0.0013058163735843102)	(7, 0.0015890054666507871)	(8, 0.001882683044645652)	(9, 0.0026063885047044265)	(10, 0.0033117391161385217)	(12, 0.004103619728231818)	(14, 0.004974163977288025)	(16, 0.005823731256487456)	(18, 0.006725740960328827)	(20, 0.007533354299814705)	(22, 0.008356700366693165)	(24, 0.009513055830047946)	(26, 0.01047537432222755)	(28, 0.011505867966441673)	(30, 0.01263862433870758)	(32, 0.013663873740457511)	(34, 0.014825473446276487)	(36, 0.016202087093127416)	(38, 0.017570834376282055)	(40, 0.018787498627975067)	(42, 0.020190333487146966)	(44, 0.021716408044227423)	(46, 0.024120893214060378)	(48, 0.025649589892372936)	(50, 0.027026203539223866)	(52, 0.028316287185415595)	(54, 0.029664057498713453)	(56, 0.031030182660635997)	(58, 0.03258772267250162)	(60, 0.03416623965422402)	(62, 0.03571066905992916)	(64, 0.0372446099807059)	(66, 0.04016040879079778)	(68, 0.04478058640175271)	(70, 0.09191845979116063)	(72, 0.10670984566141986)	(74, 0.11045947902331857)	(76, 0.11268565994936894)	(78, 0.11448705723581959)	(80, 0.11646675876605282)	(82, 0.11824717908264669)	(84, 0.1201691939457738)	(86, 0.12197059123222444)	(88, 0.12387162912549476)	(90, 0.12588804035297738)	(92, 0.12789920733799579)	(94, 0.1299025079593179)	(96, 0.13212606676413616)	(98, 0.13448335375179138)	(100, 0.13678819831480465)	(102, 0.13903011196824758)	(104, 0.14158930229077427)	(106, 0.1441825801893182)	(108, 0.14683616687620038)	(110, 0.14957366144250966)	(112, 0.15264678752652736)	(114, 0.1558457754296857)	(116, 0.15944070363889068)	(118, 0.1633843739719646)	(120, 0.16744341763925075)	(122, 0.17219994555427476)	(124, 0.1772449068048294)	(126, 0.18270416321005534)	(128, 0.18848594052682927)	(130, 0.1953637645186197)	(132, 0.20293382851568376)	(134, 0.21120399888171776)	(136, 0.22057808228646453)	(138, 0.23134713418668695)
131415C4_R2_001 - illumina_universal_adapter	(1, 0.004447117609636527)	(2, 0.004457606094564914)	(3, 0.004536269731527824)	(4, 0.004677864278061063)	(5, 0.004787993369809137)	(6, 0.004924343673878182)	(7, 0.004955809128663346)	(8, 0.0050292285231620625)	(9, 0.005097403675196585)	(10, 0.0054409015566012926)	(12, 0.0057398233770603515)	(14, 0.006120030955714418)	(16, 0.006453040352190738)	(18, 0.006864713385629969)	(20, 0.007273764297837102)	(22, 0.007756234604542951)	(24, 0.008209861577695734)	(26, 0.008752640672739814)	(28, 0.009374083404746806)	(30, 0.010084678258645095)	(32, 0.010834604931024838)	(34, 0.011681550088992172)	(36, 0.012580937671601447)	(38, 0.013598320709655085)	(40, 0.01468125677851115)	(42, 0.01593463072745352)	(44, 0.017447594678373493)	(46, 0.01908117620596993)	(48, 0.020835375310242828)	(50, 0.023145464115720292)	(52, 0.02579380656013827)	(54, 0.028518190520287062)	(56, 0.03124781872290005)	(58, 0.034771949658838425)	(60, 0.039462924543059975)	(62, 0.04432433730736783)	(64, 0.049647243408524756)	(66, 0.05559421436292077)	(68, 0.06280504775118755)	(70, 0.07185136600192223)	(72, 0.08346736306011197)	(74, 0.09610074315635536)	(76, 0.11182298206400902)	(78, 0.13003099189969064)	(80, 0.15215645085612522)	(82, 0.17903057136388745)	(84, 0.21134821554948308)	(86, 0.24808675613239425)	(88, 0.28881878735178923)	(90, 0.3382090628795684)	(92, 0.39861224758215513)	(94, 0.46912895387694)	(96, 0.5459125299164367)	(98, 0.6336959045245804)	(100, 0.735588913482638)	(102, 0.8559495222783549)	(104, 0.9946649796987508)	(106, 1.1493570217863138)	(108, 1.3165618263934435)	(110, 1.498856938691292)	(112, 1.7078504893743518)	(114, 1.9505618969809473)	(116, 2.2111037289658024)	(118, 2.4785233849424477)	(120, 2.7612247634597544)	(122, 3.0751975597910506)	(124, 3.420724963029402)	(126, 3.785876321568767)	(128, 4.154855977106994)	(130, 4.526709477515599)	(132, 4.9292470405822035)	(134, 5.365245492691598)	(136, 5.820600443736332)	(138, 6.270191972312917)
131415C4_R2_001 - polya	(1, 0.11209043842968291)	(2, 0.1242046385219711)	(3, 0.1352647458789563)	(4, 0.14719015324253348)	(5, 0.15919946848553776)	(6, 0.17120353948607786)	(7, 0.18384216382478547)	(8, 0.19663287119495465)	(9, 0.20997422402386423)	(10, 0.22960342356734245)	(12, 0.2523372146496235)	(14, 0.2747720839114455)	(16, 0.29690803135280847)	(18, 0.3183202733341126)	(20, 0.3391844919779085)	(22, 0.36075143911190644)	(24, 0.3830525801908915)	(26, 0.40403217216889964)	(28, 0.4251035383900312)	(30, 0.445262406422393)	(32, 0.4658670350642113)	(34, 0.48607834552121504)	(36, 0.5063656974939496)	(38, 0.5269886809843926)	(40, 0.5474831805344628)	(42, 0.567033716440978)	(44, 0.5853099014286942)	(46, 0.6043150361189333)	(48, 0.6231235117167653)	(50, 0.642257130347377)	(52, 0.6619440165579613)	(54, 0.681258561553588)	(56, 0.7005075535184121)	(58, 0.7196857482099697)	(60, 0.7393831229054824)	(62, 0.7587343775983583)	(64, 0.7785602362342438)	(66, 0.7981160163832233)	(68, 0.8183378153251554)	(70, 0.8382816694164852)	(72, 0.8579030025962671)	(74, 0.877443050017854)	(76, 0.8970276735003866)	(78, 0.9158387712194505)	(80, 0.9342198410564505)	(82, 0.953072892715228)	(84, 0.9716217783110823)	(86, 0.9913820839161653)	(88, 1.009802485571647)	(90, 1.028894150262545)	(92, 1.0484368198053642)	(94, 1.0663668847904435)	(96, 1.0848764385678162)	(98, 1.10308707052473)	(100, 1.1216883985452262)	(102, 1.1398098783802486)	(104, 1.1584636488253868)	(106, 1.1771147971492928)	(108, 1.1947275854652883)	(110, 1.2131715862118586)	(112, 1.2314792366543599)	(114, 1.24850991405683)	(116, 1.266513398436408)	(118, 1.2844355970577912)	(120, 1.302297486890836)	(122, 1.3199024088431353)	(124, 1.3371009020044595)	(126, 1.3541001139521445)	(128, 1.371744367722925)	(130, 1.3892208057348518)	(132, 1.4076176082992444)	(134, 1.425395590252862)	(136, 1.4431997934188008)	(138, 1.460644765975942)
131415C4_R2_001 - polyg	(1, 0.17116158554636432)	(2, 0.17343234253336032)	(3, 0.17436057344952266)	(4, 0.1752940486081492)	(5, 0.17630094316127445)	(6, 0.17727112801715036)	(7, 0.17839864014695206)	(8, 0.17965201409589443)	(9, 0.1813511486542933)	(10, 0.18346195624613137)	(12, 0.186695031725307)	(14, 0.18881370568084138)	(16, 0.19008543447840842)	(18, 0.19128112176024464)	(20, 0.19224344025242426)	(22, 0.19321362510830015)	(24, 0.19426509572237105)	(26, 0.19519594875976548)	(28, 0.19602978331157234)	(30, 0.19684526301475452)	(32, 0.19769483029395396)	(34, 0.198696480604615)	(36, 0.19965355485433042)	(38, 0.20051885486092244)	(40, 0.20128713638192686)	(42, 0.20230976366244469)	(44, 0.20327208215462428)	(46, 0.20419506882832245)	(48, 0.20507347944107493)	(50, 0.20586798217440033)	(52, 0.2069246970309354)	(54, 0.207887015523115)	(56, 0.208859822500223)	(58, 0.2098221409924026)	(60, 0.2107818373633501)	(62, 0.21165500373363844)	(64, 0.21258585677103287)	(66, 0.21350097708103472)	(68, 0.2144895167855353)	(70, 0.21564325012765795)	(72, 0.21686253650058307)	(74, 0.21799791499408108)	(76, 0.22198353926686853)	(78, 0.2246581029236075)	(80, 0.2263047950573644)	(82, 0.22837889295195313)	(84, 0.2309459496381761)	(86, 0.2336677114770928)	(88, 0.2364969802865255)	(90, 0.2390220830330349)	(92, 0.24138461426315433)	(94, 0.2437655003418984)	(96, 0.24606772278367955)	(98, 0.24835421249806816)	(100, 0.2506144810001358)	(102, 0.252701689500885)	(104, 0.25482036345641934)	(106, 0.25701245680645246)	(108, 0.25922028288387816)	(110, 0.2616483671448)	(112, 0.2642337786796476)	(114, 0.26690572021515446)	(116, 0.26972974478212297)	(118, 0.2728710460181752)	(120, 0.2762142505890989)	(122, 0.2796964275853237)	(124, 0.28355881216020257)	(126, 0.2878800679506984)	(128, 0.2926025082897052)	(130, 0.2971990868095712)	(132, 0.3020867207862)	(134, 0.30769019385919133)	(136, 0.31438971360719925)	(138, 0.3214091321455229)
131415C9_R1_001 - illumina_universal_adapter	(1, 0.0022783585042457644)	(2, 0.0022891564118488247)	(3, 0.0023269490884595366)	(4, 0.002559104101925337)	(5, 0.0026076946861391093)	(6, 0.002710274808368184)	(7, 0.0027426685311773653)	(8, 0.0028344507458033796)	(9, 0.002926232960429394)	(10, 0.00317188535839902)	(12, 0.003339252926246458)	(14, 0.0035741074166130236)	(16, 0.003808961906979589)	(18, 0.004095106458460692)	(20, 0.004440639501758628)	(22, 0.004732183007041261)	(24, 0.005064218665835372)	(26, 0.005471839677850905)	(28, 0.005887559120568734)	(30, 0.006311376993988859)	(32, 0.006794583359225816)	(34, 0.007353375077684196)	(36, 0.008001249533867827)	(38, 0.008689616143562933)	(40, 0.009380682230158805)	(42, 0.010155432100678395)	(44, 0.010930181971197985)	(46, 0.01189119574787037)	(48, 0.012992582323382539)	(50, 0.01421544535942914)	(52, 0.01564886759373542)	(54, 0.017363035425721277)	(56, 0.018939529935768105)	(58, 0.02115040151749474)	(60, 0.0237311014346262)	(62, 0.026465671535101272)	(64, 0.029413500310736786)	(66, 0.03286343178991462)	(68, 0.03693694243316918)	(70, 0.04161783537909591)	(72, 0.04750539449966464)	(74, 0.05471029834780676)	(76, 0.06277093637349142)	(78, 0.07191676411328365)	(80, 0.08240693134965693)	(82, 0.09540761210374177)	(84, 0.11135072267966059)	(86, 0.12925635296243565)	(88, 0.1506362100164954)	(90, 0.17634872749628322)	(92, 0.20740620923958597)	(94, 0.2434199305726935)	(96, 0.2849054915836519)	(98, 0.33258635208186627)	(100, 0.3863410356068022)	(102, 0.451406527345944)	(104, 0.5282795310490325)	(106, 0.6153376610987076)	(108, 0.7123676588198092)	(110, 0.8184409041584739)	(112, 0.9411618235441572)	(114, 1.0824119523766924)	(116, 1.2385334994555426)	(118, 1.4047564890970556)	(120, 1.582816684948424)	(122, 1.7854340221660527)	(124, 2.0121144964771016)	(126, 2.2574240608803304)	(128, 2.512732487723994)	(130, 2.7769113956635714)	(132, 3.0650400626667365)	(134, 3.3815726256197527)	(136, 3.717557619119682)	(138, 4.058439463717599)
131415C9_R1_001 - polya	(1, 0.005976641858293983)	(2, 0.007952658949654055)	(3, 0.009496759736891704)	(4, 0.011013865755121704)	(5, 0.012795520509626686)	(6, 0.014490792003307183)	(7, 0.016321037342025935)	(8, 0.019770968821203765)	(9, 0.023733800911526968)	(10, 0.029750934923332424)	(12, 0.03395132098092296)	(14, 0.03855932805052903)	(16, 0.042562652294363706)	(18, 0.04620154715659509)	(20, 0.04955429746734537)	(22, 0.05311760697635534)	(24, 0.05718301918890761)	(26, 0.06106486697220786)	(28, 0.06516537238447008)	(30, 0.06889604946132749)	(32, 0.07208683115803186)	(34, 0.07561504746733189)	(36, 0.07942940832811299)	(38, 0.08334634931112318)	(40, 0.08685566928211785)	(42, 0.0907996050341357)	(44, 0.09429542762062654)	(46, 0.09757799153195693)	(48, 0.1007768716593636)	(50, 0.10462362624295389)	(52, 0.10842448971923119)	(54, 0.11177993950688224)	(56, 0.11554301030654882)	(58, 0.11938436593633758)	(60, 0.12283699689241617)	(62, 0.12700498922719752)	(64, 0.13101911137863528)	(66, 0.1346256125180575)	(68, 0.1383076990107011)	(70, 0.1418062210740927)	(72, 0.1452345567380644)	(74, 0.14886805264649428)	(76, 0.15260682815405396)	(78, 0.15638339633822437)	(80, 0.15996290270863892)	(82, 0.16365308763198483)	(84, 0.16726228824830783)	(86, 0.17111444178569965)	(88, 0.1750907712605267)	(90, 0.1790212096280407)	(92, 0.18295434747245548)	(94, 0.18662563605749605)	(96, 0.1907936283922774)	(98, 0.19450540913082945)	(100, 0.1979904338097172)	(102, 0.2016212302412463)	(104, 0.20523043085756928)	(106, 0.20873975082856394)	(108, 0.21272147925719248)	(110, 0.21694346112998916)	(112, 0.2206012523305259)	(114, 0.22401069165619225)	(116, 0.22744172679706473)	(118, 0.2310806216592961)	(120, 0.23459264110719152)	(122, 0.23850958209020173)	(124, 0.24214037852173081)	(126, 0.24572258436904615)	(128, 0.2490699357259949)	(130, 0.2524712766209589)	(132, 0.2564665024340913)	(134, 0.26028086329487243)	(136, 0.26392245763400457)	(138, 0.26730760166756407)
131415C9_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0002591497824734519)	(4, 0.0004265173503208895)	(5, 0.0005938849181683272)	(6, 0.0007504545784127044)	(7, 0.000982609591878505)	(8, 0.0012795520509626685)	(9, 0.001986814998963131)	(10, 0.002694077946963593)	(12, 0.003520117878597721)	(14, 0.004354256240934145)	(16, 0.005245083618186635)	(18, 0.0060738230267215285)	(20, 0.006621816837576848)	(22, 0.007412763569501029)	(24, 0.008252300885638983)	(26, 0.00917282250879989)	(28, 0.010063649886052382)	(30, 0.011011166278220939)	(32, 0.011866900455763482)	(34, 0.0128873027242527)	(36, 0.01409396889889471)	(38, 0.015243946058620653)	(40, 0.01621845721979686)	(42, 0.017263154780392965)	(44, 0.018556204215859462)	(46, 0.02020018564842542)	(48, 0.021352862285052128)	(50, 0.022370565076640578)	(52, 0.023660915035206308)	(54, 0.024818990625634547)	(56, 0.025968967785360487)	(58, 0.027127043375788727)	(60, 0.02844978705716364)	(62, 0.029729339108126307)	(64, 0.031035885928096626)	(66, 0.03360038898382349)	(68, 0.03646993292933682)	(70, 0.05770941718455681)	(72, 0.06521396296868386)	(74, 0.067694782240487)	(76, 0.06922268616632007)	(78, 0.07075059009215312)	(80, 0.07233518303290226)	(82, 0.07362013403766646)	(84, 0.07494287771904136)	(86, 0.0763169114615308)	(88, 0.07783941643356235)	(90, 0.07951309211203672)	(92, 0.08111118243728967)	(94, 0.08267417956283268)	(96, 0.08433435785680322)	(98, 0.08611331313440744)	(100, 0.08790576579651549)	(102, 0.08990337870308167)	(104, 0.09203056650088459)	(106, 0.0941280600527791)	(108, 0.09636592640351338)	(110, 0.09859569432354537)	(112, 0.10113050313336383)	(114, 0.10381108369582359)	(116, 0.10652405798109255)	(118, 0.10949618204883493)	(120, 0.11266266845343242)	(122, 0.11601271928728195)	(124, 0.11951394082757431)	(126, 0.12324731738133249)	(128, 0.12749359454623602)	(130, 0.13240124355182703)	(132, 0.13769221827732664)	(134, 0.1431532600475745)	(136, 0.14935395848863198)	(138, 0.15622952615488075)
131415C9_R2_001 - illumina_universal_adapter	(1, 0.0022567626890396433)	(2, 0.0022675605966427036)	(3, 0.0023107522270549457)	(4, 0.002542907240520746)	(5, 0.002596896778536049)	(6, 0.002688678993162063)	(7, 0.0027210727159712447)	(8, 0.0028128549305972586)	(9, 0.002904637145223273)	(10, 0.003163786927696725)	(12, 0.0033419524031472227)	(14, 0.0035822058473153192)	(16, 0.003827858245284945)	(18, 0.0041140027967660475)	(20, 0.004448737932460924)	(22, 0.004740281437743557)	(24, 0.00512630663455297)	(26, 0.005544725554171564)	(28, 0.005971242904492453)	(30, 0.006395060777912577)	(32, 0.006929557204264072)	(34, 0.007593628521852292)	(36, 0.008443963745593306)	(38, 0.00933209164594503)	(40, 0.010128437331670744)	(42, 0.011132642738755371)	(44, 0.012134148668939231)	(46, 0.013286825305565938)	(48, 0.014631164802146969)	(50, 0.016123975528270083)	(52, 0.01780305016054599)	(54, 0.019838455743722894)	(56, 0.021836068650289087)	(58, 0.0244896544437412)	(60, 0.02743478374247595)	(62, 0.03060666910087497)	(64, 0.03389193248910613)	(66, 0.0377332881188949)	(68, 0.042295404081187954)	(70, 0.04734882483942027)	(72, 0.053635906541302236)	(74, 0.06116744709443694)	(76, 0.0697463846850685)	(78, 0.07927283866786862)	(80, 0.09008424365543294)	(82, 0.1034628511756249)	(84, 0.11984867596326919)	(86, 0.1381754246425636)	(88, 0.1599710011393412)	(90, 0.18605604643143459)	(92, 0.21734838266510392)	(94, 0.2534673835973413)	(96, 0.29522289229837617)	(98, 0.34285246273547604)	(100, 0.3963695922931446)	(102, 0.46117863372671375)	(104, 0.5376656122329927)	(106, 0.6241865463794157)	(108, 0.7207387366890818)	(110, 0.8262693871706928)	(112, 0.947532589029963)	(114, 1.087678631810085)	(116, 1.2421588969332702)	(118, 1.4059820516100032)	(120, 1.581863769602454)	(122, 1.7814603921681265)	(124, 2.0044803758017378)	(126, 2.245362798087712)	(128, 2.495615104696242)	(130, 2.7553560726109616)	(132, 3.037796941784215)	(134, 3.3480721172812578)	(136, 3.6774676876664194)	(138, 4.011776306010974)
131415C9_R2_001 - polya	(1, 0.022141109540075542)	(2, 0.02641168199708597)	(3, 0.030045177905515825)	(4, 0.03382984452038853)	(5, 0.037646904858070415)	(6, 0.04158814113318749)	(7, 0.04572373974515966)	(8, 0.05146822658998784)	(9, 0.05764462973893845)	(10, 0.06765429008697553)	(12, 0.0765733617671035)	(14, 0.08547083763202534)	(16, 0.09425763494401582)	(18, 0.1022237912781737)	(20, 0.11007117062869791)	(22, 0.11836126419094761)	(24, 0.1277338479904041)	(26, 0.1360941279520737)	(28, 0.14461907600468998)	(30, 0.15266081769206927)	(32, 0.16013836870718867)	(34, 0.16826919313229322)	(36, 0.17646750447991688)	(38, 0.18454163989010539)	(40, 0.19225944434939285)	(42, 0.19990166345545893)	(44, 0.20760867000714336)	(46, 0.21465160524123955)	(48, 0.2212734220788164)	(50, 0.2286348955872029)	(52, 0.2356940276827037)	(54, 0.24255069901064713)	(56, 0.2498338876889114)	(58, 0.25751659894848894)	(60, 0.2650400410709214)	(62, 0.2731870623574305)	(64, 0.28150415068868784)	(66, 0.2897861458202352)	(68, 0.2983569849801645)	(70, 0.30576704907276475)	(72, 0.31278298953785333)	(74, 0.31986641692546103)	(76, 0.3267068913919998)	(78, 0.33341509149040116)	(80, 0.34049581940110807)	(82, 0.3474226771284714)	(84, 0.35419026571868956)	(86, 0.3614086669513355)	(88, 0.3681411623418437)	(90, 0.37477107761012285)	(92, 0.38198138041206653)	(94, 0.3891943826909109)	(96, 0.3960240592498467)	(98, 0.40325055891319495)	(100, 0.4097293034750312)	(102, 0.4164213067120279)	(104, 0.42323748588645993)	(106, 0.4298161110936245)	(108, 0.4367105750981786)	(110, 0.44357804433372505)	(112, 0.4502889439090272)	(114, 0.45664891148722986)	(116, 0.46321943826369216)	(118, 0.46996813051560493)	(120, 0.4769651746423882)	(122, 0.4836760742176902)	(124, 0.49055974031464133)	(126, 0.49696020004635544)	(128, 0.5030826136572907)	(130, 0.5094641770506995)	(132, 0.5165692002535133)	(134, 0.5231802191834871)	(136, 0.5295266893771859)	(138, 0.5354304453591592)
131415C9_R2_001 - polyg	(1, 0.27570297482894357)	(2, 0.27780856681154037)	(3, 0.27927708224555664)	(4, 0.28084817780180193)	(5, 0.28244086917325334)	(6, 0.2842873113733767)	(7, 0.28640370126357656)	(8, 0.2885200911537764)	(9, 0.2905392998755487)	(10, 0.2940432208927418)	(12, 0.29861613476263793)	(14, 0.30091878855899057)	(16, 0.3023225165473885)	(18, 0.3034670947533129)	(20, 0.3044605022527944)	(22, 0.30543231393706993)	(24, 0.3064176230058492)	(26, 0.30741912893603307)	(28, 0.3083099563132855)	(30, 0.30909010513760665)	(32, 0.3098837513464316)	(34, 0.310798874015791)	(36, 0.3116168155167228)	(38, 0.3122835863112118)	(40, 0.3129854503054107)	(42, 0.31370621063791504)	(44, 0.31446206417012923)	(46, 0.3152044203178397)	(48, 0.315890087450634)	(50, 0.3166297441214436)	(52, 0.3173721002691541)	(54, 0.31813065327826906)	(56, 0.3189296984408955)	(58, 0.319601868189186)	(60, 0.32052238981234693)	(62, 0.3213322328825765)	(64, 0.32219606549082136)	(66, 0.3230625975759669)	(68, 0.32399121762983013)	(70, 0.3248118586076627)	(72, 0.3257296807539229)	(74, 0.3266232076080761)	(76, 0.3288556750050089)	(78, 0.33065892557472)	(80, 0.33182240011894976)	(82, 0.33316404013863)	(84, 0.33511576193788317)	(86, 0.337313136135106)	(88, 0.33938363491799284)	(90, 0.34147033056228426)	(92, 0.34339235811562907)	(94, 0.34534138043798146)	(96, 0.34719862054570794)	(98, 0.34899107320781597)	(100, 0.350737634762611)	(102, 0.3525138905633144)	(104, 0.354311742179224)	(106, 0.3561689822869504)	(108, 0.35814769885521125)	(110, 0.3602181976380981)	(112, 0.3623399864820995)	(114, 0.36456975440213146)	(116, 0.3667968228452627)	(118, 0.3690103939038901)	(120, 0.37148311474499096)	(122, 0.3740989078618323)	(124, 0.3770764308833763)	(126, 0.3800539539049202)	(128, 0.3833824089235636)	(130, 0.3869484179094743)	(132, 0.390676395509431)	(134, 0.39491187476673145)	(136, 0.3996683530658796)	(138, 0.4046461884708905)
131415H14_R1_001 - illumina_universal_adapter	(1, 0.0016236479748009834)	(2, 0.001654871974316387)	(3, 0.0016965039736702584)	(4, 0.001784971972297235)	(5, 0.0018370119714895743)	(6, 0.0018682359710049778)	(7, 0.0019254799701165508)	(8, 0.001961907969551188)	(9, 0.0020191519686627614)	(10, 0.0022325159653513523)	(12, 0.0024224619624033904)	(14, 0.002578581959980408)	(16, 0.002771129956992063)	(18, 0.002984493953680654)	(20, 0.0032082659502077125)	(22, 0.003419027946936686)	(24, 0.0036115759439483415)	(26, 0.0038197359407176985)	(28, 0.004077333936719777)	(30, 0.004373961932116111)	(32, 0.00475125192626057)	(34, 0.005144153920162731)	(36, 0.005583891913337998)	(38, 0.006119903905019091)	(40, 0.006681935896296355)	(42, 0.007264783887250555)	(44, 0.008001149875822153)	(46, 0.008742719864312989)	(48, 0.009869385846827132)	(50, 0.011074111828129785)	(52, 0.01226062380971512)	(54, 0.013725549786979468)	(56, 0.015180067764405348)	(58, 0.0174281957295144)	(60, 0.020243559685819954)	(62, 0.023095351641560145)	(64, 0.026308821591687088)	(66, 0.030261259530345253)	(68, 0.03554852344828692)	(70, 0.04204311534749085)	(72, 0.05019518122097079)	(74, 0.05958319707526878)	(76, 0.07083944890057176)	(78, 0.08427617669203374)	(80, 0.10098622043269385)	(82, 0.12157584611314287)	(84, 0.1468204497213466)	(86, 0.1763453432631203)	(88, 0.21032486073575818)	(90, 0.2515067140966158)	(92, 0.3029274372985662)	(94, 0.36293476036725253)	(96, 0.4316067433014633)	(98, 0.5104915760771708)	(100, 0.6013013746678026)	(102, 0.7085792310028504)	(104, 0.8339592010569532)	(106, 0.9713083709252941)	(108, 1.1230544065701955)	(110, 1.2919033879496595)	(112, 1.484563270959578)	(114, 1.7025171955769332)	(116, 1.9398820398930305)	(118, 2.1878838600440424)	(120, 2.453628717919682)	(122, 2.748698115340205)	(124, 3.06725836839615)	(126, 3.4037177791743)	(128, 3.7475694718377217)	(130, 4.102529102328749)	(132, 4.477045364516256)	(134, 4.880342348257087)	(136, 5.301652977718346)	(138, 5.721605363200685)
131415H14_R1_001 - polya	(1, 0.005896131908492033)	(2, 0.008326399870774274)	(3, 0.009944843845656023)	(4, 0.01203685181318806)	(5, 0.01420171577958937)	(6, 0.016278111747363707)	(7, 0.018770827708676753)	(8, 0.02235117965310969)	(9, 0.026233363592858196)	(10, 0.03252239749525239)	(12, 0.03729966942110913)	(14, 0.04197806534850043)	(16, 0.04632340528106075)	(18, 0.050692163213257625)	(20, 0.054485879154379156)	(22, 0.058477347092431575)	(24, 0.06297360302264968)	(26, 0.06730072895549269)	(28, 0.07136505289241438)	(30, 0.07520560483280901)	(32, 0.07904355477324404)	(34, 0.08297777871218487)	(36, 0.08708373464846045)	(38, 0.09179855857528638)	(40, 0.0958212505128542)	(42, 0.10034092444270885)	(44, 0.10404877438516302)	(46, 0.1078034603268903)	(48, 0.11146707627003097)	(50, 0.11520354821204093)	(52, 0.11923664814944722)	(54, 0.12339984808483435)	(56, 0.12773998401747544)	(58, 0.1320593039504396)	(60, 0.13600913988913815)	(62, 0.14044034582036585)	(64, 0.1452514437456976)	(66, 0.1492845436831039)	(68, 0.1533046336207121)	(70, 0.15762655555363586)	(72, 0.1618053674887807)	(74, 0.16576561142731772)	(76, 0.1699236073627856)	(78, 0.17408680729817275)	(80, 0.17788572723921353)	(82, 0.18223106717177384)	(84, 0.1861054451116435)	(86, 0.19056267104246735)	(88, 0.195116170971797)	(90, 0.19927676890722457)	(92, 0.2041971508308602)	(94, 0.20876105876002837)	(96, 0.21310639869258868)	(98, 0.2172487826282989)	(100, 0.22127667856578595)	(102, 0.22536181850238457)	(104, 0.2293090524411235)	(106, 0.23343842637703563)	(108, 0.23748193431428039)	(110, 0.24156967625083864)	(112, 0.24512140619571576)	(114, 0.24892032613675652)	(116, 0.2529039880749301)	(118, 0.25679137601459784)	(120, 0.26092595395042917)	(122, 0.2651151738854125)	(124, 0.269486533817569)	(126, 0.2735196337549753)	(128, 0.2774356436941988)	(130, 0.281421907632332)	(132, 0.2858583175634789)	(134, 0.2899382535001583)	(136, 0.2936747254421682)	(138, 0.2972238533870858)
131415H14_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.00023417999636552646)	(4, 0.0003798919941040763)	(5, 0.0005308079917618599)	(6, 0.0007129479889350473)	(7, 0.0008690679865120648)	(8, 0.001186511981585334)	(9, 0.0017381359730241296)	(10, 0.0022663419648263727)	(12, 0.0028882199551748264)	(14, 0.0037312679420907213)	(16, 0.004373961932116111)	(18, 0.005081705921131925)	(20, 0.005685369911763058)	(22, 0.006473775899526997)	(24, 0.007350649885917914)	(26, 0.008154667873439554)	(28, 0.008914451861647708)	(30, 0.009840763847271346)	(32, 0.010715035833702645)	(34, 0.011526859821103136)	(36, 0.012382917807817116)	(38, 0.013270199794046499)	(40, 0.014277173778418265)	(42, 0.015062977766222584)	(44, 0.016015309751442393)	(46, 0.017056109735289177)	(48, 0.018039665720024387)	(50, 0.018973783705526874)	(52, 0.01994172769050439)	(54, 0.020951303674835768)	(56, 0.021862003660701703)	(58, 0.02280652964604266)	(60, 0.023717229631908594)	(62, 0.02470598961656304)	(64, 0.02599137759661382)	(66, 0.02732620357589732)	(68, 0.02982932753704884)	(70, 0.054462461154742604)	(72, 0.06125888504926211)	(74, 0.06312191702034785)	(76, 0.06442551900011595)	(78, 0.06563544898133783)	(80, 0.06686619496223666)	(82, 0.06816719494204512)	(84, 0.06938753292310548)	(86, 0.07063909490368125)	(88, 0.07193228888361088)	(90, 0.07313441286495391)	(92, 0.07441719884504508)	(94, 0.07595758282113832)	(96, 0.07740429479868535)	(98, 0.07889784277550549)	(100, 0.08042521675180064)	(102, 0.08201764072708621)	(104, 0.08382342869906038)	(106, 0.08554335067236721)	(108, 0.087229446646199)	(110, 0.08923038461514443)	(112, 0.0911428545854629)	(114, 0.09324527055283341)	(116, 0.09548819451802322)	(118, 0.09807458247788248)	(120, 0.10094198643338037)	(122, 0.10391347038726295)	(124, 0.1072362243356938)	(126, 0.11058760028368045)	(128, 0.11450361022290398)	(130, 0.11888537815489894)	(132, 0.12363142608124027)	(134, 0.1288562420001511)	(136, 0.13493971790573558)	(138, 0.14225133779225924)
