Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
101112M9_R1_001	(1.0, 43.35207481128178)	(2.0, 15.226129531551788)	(3.0, 7.651572487018566)	(4.0, 4.630297746131273)	(5.0, 3.0093945544798704)	(6.0, 2.184824829112517)	(7.0, 1.6671063353666575)	(8.0, 1.3316639890541941)	(9.0, 1.0780894273644164)	('>10', 8.779052032187328)	('>50', 2.158686070242081)	('>100', 5.042706847845762)	('>500', 1.9830246738438504)	('>1k', 1.7319653088325744)	('>5k', 0.17341135568727473)	('>10k+', 0.0)
101112M9_R2_001	(1.0, 45.94493947025457)	(2.0, 14.444263928821169)	(3.0, 7.257273585465991)	(4.0, 4.3811740880669445)	(5.0, 2.890368586915597)	(6.0, 2.1026257804524)	(7.0, 1.574114909508384)	(8.0, 1.1890839227753314)	(9.0, 0.9823923855521135)	('>10', 8.500376021408073)	('>50', 2.05297218849951)	('>100', 4.786027876144768)	('>500', 1.8817523950911754)	('>1k', 1.686451637288478)	('>5k', 0.16275164676389517)	('>10k+', 0.16343157699159333)
123C14_R1_001	(1.0, 46.003584376891894)	(2.0, 14.759604466184001)	(3.0, 6.909007484105762)	(4.0, 3.9563361016189833)	(5.0, 2.644823970868944)	(6.0, 1.943016687690274)	(7.0, 1.4348116036239311)	(8.0, 1.2301156367576898)	(9.0, 0.9329882901778583)	('>10', 9.493639927438045)	('>50', 2.375629912999821)	('>100', 4.890186038343631)	('>500', 1.5626630205977723)	('>1k', 1.7315876878289262)	('>5k', 0.13200479487256828)	('>10k+', 0.0)
123C14_R2_001	(1.0, 48.33765176766718)	(2.0, 13.968371203583654)	(3.0, 6.494352926474625)	(4.0, 3.745078556875837)	(5.0, 2.4646383142305557)	(6.0, 1.7705703929968872)	(7.0, 1.387443895347087)	(8.0, 1.134723484989507)	(9.0, 0.8947562499042633)	('>10', 9.299896446446883)	('>50', 2.263541956034528)	('>100', 4.675834369101457)	('>500', 1.5082778682699034)	('>1k', 1.6188464375126277)	('>5k', 0.12906523302466416)	('>10k+', 0.30695089754027177)
123C4_R1_001	(1.0, 36.13231232278329)	(2.0, 14.223130370493903)	(3.0, 7.696189187760698)	(4.0, 4.845382850835728)	(5.0, 3.334206347227226)	(6.0, 2.41030590431223)	(7.0, 1.9403681789717235)	(8.0, 1.4617866455010347)	(9.0, 1.290881332123171)	('>10', 12.556301843708562)	('>50', 3.1406042211863063)	('>100', 6.644008990621283)	('>500', 2.2000757019556536)	('>1k', 2.027180626617737)	('>5k', 0.09726547590140801)	('>10k+', 0.0)
123C4_R2_001	(1.0, 38.91517087177767)	(2.0, 13.616059381528425)	(3.0, 7.249024303660705)	(4.0, 4.598019368028723)	(5.0, 3.205809354301834)	(6.0, 2.2832278947812803)	(7.0, 1.7739531378664846)	(8.0, 1.4069217800213538)	(9.0, 1.2494023001374357)	('>10', 11.987879833920552)	('>50', 3.0536970533443752)	('>100', 6.369921457075607)	('>500', 2.11186082429268)	('>1k', 1.9503564207641628)	('>5k', 0.09735174223535932)	('>10k+', 0.13134427626347336)
123C9_R1_001	(1.0, 39.076837215610574)	(2.0, 15.325712266713296)	(3.0, 8.149402620838432)	(4.0, 4.922206363594111)	(5.0, 3.272321882226802)	(6.0, 2.3540486349511283)	(7.0, 1.6960497898698985)	(8.0, 1.3643763613515607)	(9.0, 1.1448468852875613)	('>10', 9.355484289517566)	('>50', 2.1737759662667813)	('>100', 5.780339564760597)	('>500', 2.26933677313613)	('>1k', 2.8168415059044762)	('>5k', 0.23415180525423154)	('>10k+', 0.06426807471678643)
123C9_R2_001	(1.0, 42.616684158738146)	(2.0, 14.608992207577112)	(3.0, 7.537704843707877)	(4.0, 4.563277982485731)	(5.0, 3.059883069985915)	(6.0, 2.1973466761459766)	(7.0, 1.61536473677325)	(8.0, 1.238797419976869)	(9.0, 1.1053618997879238)	('>10', 8.701886009853535)	('>50', 2.1732765377611716)	('>100', 5.405917628008577)	('>500', 2.1470916804197557)	('>1k', 2.562987964344747)	('>5k', 0.2231237224111117)	('>10k+', 0.24230346202236017)
123H14_R1_001	(1.0, 30.135060874018954)	(2.0, 17.223355621406743)	(3.0, 10.118222807486225)	(4.0, 6.191925559659457)	(5.0, 4.186641297548131)	(6.0, 2.907624059213312)	(7.0, 2.244307439002972)	(8.0, 1.7672822728924036)	(9.0, 1.4439210325497907)	('>10', 13.63680622928795)	('>50', 3.1101635489034236)	('>100', 4.905951044531)	('>500', 1.313291957749272)	('>1k', 0.8154462557502216)	('>5k', 0.0)	('>10k+', 0.0)
123H14_R2_001	(1.0, 33.07159066494806)	(2.0, 16.68547639737224)	(3.0, 9.85265381134899)	(4.0, 5.880344009963729)	(5.0, 3.847418329652087)	(6.0, 2.8190187355973904)	(7.0, 2.0837682802285094)	(8.0, 1.6400966909067536)	(9.0, 1.4399300608897148)	('>10', 12.968293562297145)	('>50', 2.9893321698545106)	('>100', 4.732869441373908)	('>500', 1.2001718010538687)	('>1k', 0.789036044513105)	('>5k', 0.0)	('>10k+', 0.0)
