Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
789L14_R2_001	(1.0, 47.85667450240544)	(2.0, 13.730488523412642)	(3.0, 6.941402693837423)	(4.0, 4.27537046902628)	(5.0, 2.8979691133620222)	(6.0, 1.9810671040384833)	(7.0, 1.627503527814753)	(8.0, 1.2097351175540618)	(9.0, 1.0339554598647824)	('>10', 9.600435629520804)	('>50', 2.1176531043075415)	('>100', 4.256720732765871)	('>500', 1.243709460144141)	('>1k', 1.003672633773942)	('>5k', 0.03176236330921761)	('>10k+', 0.19187956486252164)
789L4_R1_001	(1.0, 32.19330672719872)	(2.0, 20.160685408050735)	(3.0, 11.99869976742138)	(4.0, 7.109544194691408)	(5.0, 4.0705373483535086)	(6.0, 2.476434863236571)	(7.0, 1.6177678554336188)	(8.0, 1.146987798105863)	(9.0, 0.824022502759725)	('>10', 6.386762297907884)	('>50', 1.6302810124706972)	('>100', 4.841996913488576)	('>500', 2.2328799003266466)	('>1k', 2.837772985938793)	('>5k', 0.217090373353707)	('>10k+', 0.2552300512620667)
789L4_R2_001	(1.0, 34.87666577969418)	(2.0, 19.613265287195645)	(3.0, 11.578675459828828)	(4.0, 6.7962263043602436)	(5.0, 3.8301629806224717)	(6.0, 2.4304370423957873)	(7.0, 1.5151357799594736)	(8.0, 1.1020419495616558)	(9.0, 0.7651651879547731)	('>10', 5.990711446733728)	('>50', 1.5783303928579104)	('>100', 4.624521755576671)	('>500', 2.1072941462664914)	('>1k', 2.6987922845983325)	('>5k', 0.2528929799233364)	('>10k+', 0.23968122247046622)
789L9_R1_001	(1.0, 26.816950895970713)	(2.0, 17.595366728798282)	(3.0, 11.324745709326686)	(4.0, 7.117064433534876)	(5.0, 4.478338425839188)	(6.0, 3.0353549091488103)	(7.0, 2.116098475301675)	(8.0, 1.446881207576501)	(9.0, 1.144227833703797)	('>10', 8.39026845652315)	('>50', 2.1991284492551713)	('>100', 6.6951817514309715)	('>500', 3.1898544738399077)	('>1k', 3.982655297893768)	('>5k', 0.3916856685853324)	('>10k+', 0.07619728327111336)
789L9_R2_001	(1.0, 29.84009403131728)	(2.0, 16.95965519291581)	(3.0, 10.921931848425947)	(4.0, 6.834724889662724)	(5.0, 4.303831810389992)	(6.0, 2.8301349170486745)	(7.0, 1.8764577470502044)	(8.0, 1.3581376007984771)	(9.0, 1.0521057361067794)	('>10', 8.166472342458011)	('>50', 2.1406050717415024)	('>100', 6.546966870802705)	('>500', 2.978531838070092)	('>1k', 3.753051230257948)	('>5k', 0.4372988729538169)	('>10k+', 0.0)
789M14_R1_001	(1.0, 29.51332089589468)	(2.0, 18.790941377980282)	(3.0, 11.818681352689717)	(4.0, 7.244370258397015)	(5.0, 4.550481296171835)	(6.0, 3.031281374200768)	(7.0, 2.133233926680255)	(8.0, 1.573669371997017)	(9.0, 1.2639062556108251)	('>10', 10.121707786471859)	('>50', 2.2087873982373964)	('>100', 4.647048679219658)	('>500', 1.6105143323129518)	('>1k', 1.31456237239662)	('>5k', 0.035458021025538654)	('>10k+', 0.14203530071368942)
789M14_R2_001	(1.0, 32.1304939694912)	(2.0, 18.441772198876084)	(3.0, 11.361175357135696)	(4.0, 6.998527097344742)	(5.0, 4.376223951826688)	(6.0, 2.855022609529522)	(7.0, 2.0203365412453436)	(8.0, 1.4729058329133633)	(9.0, 1.2301932166364997)	('>10', 9.605306031393877)	('>50', 2.090823227309629)	('>100', 4.441929111992267)	('>500', 1.5706501247084521)	('>1k', 1.1991835357432372)	('>5k', 0.08338744926893374)	('>10k+', 0.12206974458450855)
789M4_R1_001	(1.0, 22.92586529886246)	(2.0, 16.335603996771216)	(3.0, 11.671532625079873)	(4.0, 7.588641567833662)	(5.0, 4.88313504307586)	(6.0, 3.1474083650402247)	(7.0, 2.151957511052428)	(8.0, 1.5271061238312549)	(9.0, 1.0955920610946956)	('>10', 8.527677789005638)	('>50', 2.399167460292852)	('>100', 6.481020281371265)	('>500', 3.559257753128292)	('>1k', 6.064736977703548)	('>5k', 0.9850469058490626)	('>10k+', 0.6562502400077542)
789M4_R2_001	(1.0, 25.453146895217767)	(2.0, 16.113970215503258)	(3.0, 11.348978003689004)	(4.0, 7.316509644534709)	(5.0, 4.6558970761476415)	(6.0, 2.967266656748751)	(7.0, 2.0042836541389017)	(8.0, 1.4203911734780865)	(9.0, 1.0985578702516505)	('>10', 8.205865005166228)	('>50', 2.4151895098350815)	('>100', 6.182798544546649)	('>500', 3.4924832064472313)	('>1k', 5.771246542393852)	('>5k', 0.9106870080231548)	('>10k+', 0.6427289938781716)
7C14_R1_001	(1.0, 33.82900004175078)	(2.0, 15.151186832754785)	(3.0, 8.737207514201643)	(4.0, 5.377218083721389)	(5.0, 3.429636909503739)	(6.0, 2.401949037858154)	(7.0, 1.6491576598870212)	(8.0, 1.2587487687683518)	(9.0, 0.9710112974125664)	('>10', 8.610742791309228)	('>50', 2.4332955782508194)	('>100', 6.90177415516476)	('>500', 3.4376956287877354)	('>1k', 5.266001263099011)	('>5k', 0.4003836871934643)	('>10k+', 0.14499075033649064)
7C14_R2_001	(1.0, 37.2422489549582)	(2.0, 14.575373352290963)	(3.0, 8.119159527183244)	(4.0, 4.979014862255394)	(5.0, 3.2027657216772343)	(6.0, 2.144556452912453)	(7.0, 1.5119416528209255)	(8.0, 1.2215623524794126)	(9.0, 0.9246866304618961)	('>10', 8.193279404956298)	('>50', 2.3199316394110316)	('>100', 6.574961423740784)	('>500', 3.371160599539331)	('>1k', 4.964197847125957)	('>5k', 0.37836229264437077)	('>10k+', 0.27679728554234717)
89C14_R1_001	(1.0, 29.435606553403797)	(2.0, 17.77822984211092)	(3.0, 11.210127308508033)	(4.0, 6.98425575146089)	(5.0, 4.508950040806081)	(6.0, 3.157131271774389)	(7.0, 2.1801347929915753)	(8.0, 1.671446166506799)	(9.0, 1.3941910043526617)	('>10', 11.180470431731909)	('>50', 2.4032439808307267)	('>100', 4.799121514655267)	('>500', 1.693040457982671)	('>1k', 1.5295447743693984)	('>5k', 0.0745061085148173)	('>10k+', 0.0)
89C14_R2_001	(1.0, 32.37198979688986)	(2.0, 17.523884685160212)	(3.0, 10.695194855541077)	(4.0, 6.464916431316135)	(5.0, 4.282901066875524)	(6.0, 2.8316868248507094)	(7.0, 2.0916050331761498)	(8.0, 1.594073278783008)	(9.0, 1.22989264201932)	('>10', 10.84687964848887)	('>50', 2.3371247829876856)	('>100', 4.644101601650519)	('>500', 1.5991658248993172)	('>1k', 1.4141008896546035)	('>5k', 0.07248263770689005)	('>10k+', 0.0)
89C9_R1_001	(1.0, 35.682582086368384)	(2.0, 15.078434988435646)	(3.0, 8.142085928467885)	(4.0, 5.110231183106475)	(5.0, 3.300383143389443)	(6.0, 2.1255318283526408)	(7.0, 1.6215711014325882)	(8.0, 1.2397056377470754)	(9.0, 1.0124869365579954)	('>10', 8.273050722738867)	('>50', 2.2288278099191547)	('>100', 6.722211494788062)	('>500', 3.5437926502757207)	('>1k', 5.173375413815365)	('>5k', 0.4543255759344748)	('>10k+', 0.2914034986700823)
89C9_R2_001	(1.0, 38.35672746411459)	(2.0, 14.688045771519398)	(3.0, 7.7405117278880695)	(4.0, 4.683875962608985)	(5.0, 3.167712197058223)	(6.0, 2.0433235983779428)	(7.0, 1.5485934758595368)	(8.0, 1.1776705787702042)	(9.0, 0.9192468885840143)	('>10', 7.881770106125923)	('>50', 2.1742201753765134)	('>100', 6.4721248977457195)	('>500', 3.352281107008558)	('>1k', 4.8633410757067095)	('>5k', 0.49758747898111455)	('>10k+', 0.4329674942744749)
89M9_R1_001	(1.0, 39.59744366583398)	(2.0, 16.9879718846981)	(3.0, 9.048313067664605)	(4.0, 5.027401328541785)	(5.0, 3.078290826508184)	(6.0, 2.030804941556015)	(7.0, 1.4870175710706695)	(8.0, 1.0614602314654513)	(9.0, 0.8634628343872165)	('>10', 6.950124798238852)	('>50', 2.0327566451664536)	('>100', 5.7743250387638)	('>500', 2.5969877101841754)	('>1k', 3.1554851417756344)	('>5k', 0.3081543141450003)	('>10k+', 0.0)
89M9_R2_001	(1.0, 43.120687601972456)	(2.0, 16.27302895029135)	(3.0, 8.162481179875973)	(4.0, 4.6737525805471885)	(5.0, 2.8471668326432957)	(6.0, 1.8769737166101548)	(7.0, 1.2853423348083965)	(8.0, 1.0181122771074735)	(9.0, 0.7921936801107273)	('>10', 6.575779517454638)	('>50', 1.8899717317715412)	('>100', 5.545060250338323)	('>500', 2.5153348534995374)	('>1k', 2.887049054525708)	('>5k', 0.3270154494989752)	('>10k+', 0.21004998894435845)
