Module	Section	Sample Name	Source
FastQC	all_sections	789H14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789H14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	789L9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789L9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	45H14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/45H14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	67C9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/67C9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415H4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415H4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	456L14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456L14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	456H9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456H9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112M4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112M4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	123C14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123C14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	123C4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123C4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112H4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112H4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	789L14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789L14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	89C14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/89C14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112M14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112M14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	456L9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456L9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	456H9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456H9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	123M9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123M9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112L9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112L9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	89C9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/89C9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	789L9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789L9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	456M4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456M4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	7C14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/7C14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415C9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415C9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	6C14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/6C14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112M9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112M9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	123L4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123L4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	13M14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/13M14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	123H9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123H9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112H4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112H4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415L14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415L14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	123M4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123M4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	123C9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123C9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	789H9_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789H9_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	456M14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456M14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415C4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415C4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	456H4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456H4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	789L4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/789L4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	101112L4_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/101112L4_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415C14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415C14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	13M14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/13M14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415M14_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415M14_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	123C14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123C14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	456C4_R2_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/456C4_R2_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415L9_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415L9_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	123H14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/123H14_R1_001.fastp-trim_fastqc.zip
FastQC	all_sections	131415C14_R1_001	/home/shared/8TB_HDD_02/stanja/sarahtanja/coral-embryo-leachate/output/03_qaqc/clean_reads_fastqc/131415C14_R1_001.fastp-trim_fastqc.zip
